Latitude,Longitude,Time,Date,Number of Sats,GPS Speed (Kn),GPS True Heading,GPS Magnetic Variation,HDOP,C Magnetic Heading,C True Heading,Pitch Angle,Roll Angle,C Inside Temp (c),DFS Depth (m),DTB Height (m),Total Water Column (m),Batt Percent,Power Watts,Watt-Hours,Batt Volts,Batt Ampers,Batt State,Time to Empty,Current Step,Dist To Next (m),Next Speed (kn),Vehicle Speed (kn),Motor Speed CMD,Next Heading,Next Long,Next Lat,Next Depth (m),Depth Goal (m),Vehicle State,Error State,Fin Pitch R,Fin Pitch L,Pitch Goal,Fin Yaw T,Fin Yaw B,Yaw Goal,Fin Roll
33.86641167,-112.2942817,54:22.3,8/16/2011,8,1.06,52.8,11.0838024,0,45.9,56.9838024,3.7,-1.2,38.7,0,3.41,3.41,81,26,371.6,14.2,-1.8,D,842,1,51.141,1,1,165,26.05932,-112.294037,33.866824,0,0,1,N,123,123,5,115,115,26.05932,0
33.86641423,-112.294277,54:23.3,8/16/2011,8,1.06,52.8,11.0838024,0,45,56.0838024,3.6,-1.1,38.7,0,3.41,3.41,81,26,371.6,14.2,-1.8,D,841,1,50.669,1,1,165,25.93798,-112.294037,33.866824,0,0,1,N,122,122,5,125,125,25.93798,0
33.86641607,-112.2942748,54:24.3,8/16/2011,8,1.05,54.61,11.0838024,0,43.5,54.5838024,3.5,-1.6,38.6,0,3.38,3.38,81,26,371.6,14.2,-1.8,D,841,1,50.397,1,1,165,25.83302,-112.294037,33.866824,0,0,1,N,122,122,5,135,135,25.83302,0
33.86641774,-112.2942699,54:25.3,8/16/2011,8,1.06,53.26,11.0838024,0,43.3,54.3838024,3.8,-0.7,38.6,0,3.35,3.35,81,26,371.6,14.2,-1.8,D,836,1,50.03,1,1,165,25.45084,-112.294037,33.866824,0,0,1,N,123,123,5,134,134,25.45084,0
33.86642166,-112.2942639,54:26.3,8/16/2011,8,0.97,50.92,11.0838024,0,43,54.0838024,3.5,-1.4,38.6,0,3.35,3.35,81,26,371.6,14.2,-1.8,D,836,1,49.401,1,1,165,25.0947,-112.294037,33.866824,0,0,1,N,122,122,5,134,134,25.15235,0
33.86642495,-112.2942606,54:27.3,8/16/2011,8,1,48.4,11.0838024,0,43.4,54.4838024,3.5,-1.1,38.6,0,3.38,3.38,81,26,371.6,14.2,-1.8,D,836,1,48.941,1,1,165,24.95297,-112.294037,33.866824,0,0,1,N,122,122,5,130,130,24.95297,0
33.86642828,-112.2942556,54:28.3,8/16/2011,8,0.91,53.25,11.0838024,0,43.4,54.4838024,3.7,-1.5,38.7,0,3.38,3.38,81,26,371.6,14.2,-1.8,D,836,1,48.411,1,1,165,24.6423,-112.294037,33.866824,0,0,1,N,123,123,5,128,128,24.70269,0
33.86642995,-112.2942523,54:29.3,8/16/2011,8,0.93,52.85,11.0838024,0,43.3,54.3838024,3.6,-1.5,38.7,0,3.41,3.41,81,26,371.6,14.2,-1.8,D,836,1,48.114,1,1,165,24.40174,-112.294037,33.866824,0,0,1,N,122,122,5,127,127,24.40174,0
33.86643329,-112.2942473,54:30.3,8/16/2011,8,0.9,54.89,11.0838024,0,43.3,54.3838024,3.6,-1.4,38.6,0,3.47,3.47,81,26,371.6,14.2,-1.8,D,836,1,47.586,1,1,165,24.08068,-112.294037,33.866824,0,0,1,N,122,122,5,126,126,24.08068,0
33.86643495,-112.294244,54:31.3,8/16/2011,8,0.92,54.03,11.0838024,0,43.3,54.3838024,3.6,-1.1,38.7,0,3.5,3.5,81,26,371.6,14.2,-1.8,D,836,1,47.292,1,1,165,23.83112,-112.294037,33.866824,0,0,1,N,122,122,5,123,123,23.83112,0
33.86643829,-112.294239,54:32.3,8/16/2011,8,1,56.31,11.0838024,0,43.2,54.2838024,3.6,-1.8,38.7,0,3.53,3.53,81,26,371.5,14.2,-1.8,D,837.2,1,46.768,1,1,165,23.49775,-112.294037,33.866824,0,0,1,N,122,122,5,121,121,23.49775,0
33.86644164,-112.2942356,54:33.3,8/16/2011,8,0.99,56.13,11.0838024,0,42.4,53.4838024,3.6,-1.5,38.7,0,3.59,3.59,81,26,371.5,14.2,-1.8,D,837.2,1,46.304,1,1,165,23.33391,-112.294037,33.866824,0,0,1,N,122,122,5,124,124,23.39791,0
33.866445,-112.2942283,54:34.3,8/16/2011,8,1.09,50.96,11.0838024,0,41.5,52.5838024,3.6,-1.4,38.7,0,3.68,3.68,81,26,371.5,14.2,-1.8,D,837.2,1,45.941,1,1,165,22.8955,-112.294037,33.866824,0,0,1,N,122,122,5,126,126,22.8955,0
33.86644785,-112.2942239,54:35.3,8/16/2011,8,1.09,50.96,11.0838024,0,40.8,51.8838024,3.7,-1,38.7,0,3.71,3.71,81,26,371.5,14.2,-1.8,D,837.2,1,45.248,1,1,165,22.42445,-112.294037,33.866824,0,0,1,N,122,122,5,125,125,22.42445,0
33.86645009,-112.2942207,54:36.3,8/16/2011,8,1.07,49.95,11.0838024,0,40.2,51.2838024,3.7,-1.2,38.7,0,3.77,3.77,81,26,371.5,14.2,-1.8,D,837.2,1,44.906,1,1,165,22.19722,-112.294037,33.866824,0,0,1,N,123,123,5,128,128,22.19722,0
33.86645343,-112.2942158,54:37.4,8/16/2011,8,1.09,48.49,11.0838024,0,39.7,50.7838024,3.6,-1.8,38.6,0,3.86,3.86,81,26,371.5,14.2,-1.8,D,837.2,1,44.388,1,1,165,21.82745,-112.294037,33.866824,0,0,1,N,122,122,5,130,130,21.82745,0
33.86645676,-112.2942124,54:38.4,8/16/2011,8,1.02,46.48,11.0838024,0,39.3,50.3838024,3.6,-1.2,38.7,0,3.89,3.9,81,26,371.5,14.2,-1.8,D,837.2,1,43.93,1,1,165,21.63455,-112.294037,33.866824,0,0,1,N,122,122,5,129,129,21.63455,0
33.86646227,-112.2942058,54:39.4,8/16/2011,8,0.93,51.28,11.0838024,0,38.8,49.8838024,3.5,-1.6,38.7,0,3.93,3.93,81,26,371.5,14.2,-1.8,D,837.2,1,43.138,1,1,165,21.18137,-112.294037,33.866824,0,0,1,N,122,122,5,129,129,21.18137,0
